Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2024-01-02,AAPL,187.15,188.44,186.20,187.90,187.90,53400000
2024-01-03,AAPL,"187.90","189.98","187.50","189.25","189.25","48,500,000"
2024-01-04,AAPL,189.25,190.10,188.90,,190.00,51000000
2024-01-05,AAPL,,191.00,189.80,190.75,190.75,52000000
2024-01-06,AAPL,190.75,192.30,190.10,191.60,191.60,
2024-01-06,AAPL,190.75,192.30,190.10,191.60,191.60,53000000
2024-01-32,AAPL,191.60,193.00,191.20,192.50,192.50,54000000
2024-01-08,AAPL,$192.50,194.20,192.10,193.80,193.80,55000000
2024-01-09,AAPL,193.80,195.00,193.50,194.60,194.60,56000000
2024-01-10,AAPL,194.60,196.10,194.00,195.80,195.80,57000000

2024-01-02,MSFT,370.00,372.50,369.20,371.80,371.80,28000000
2024-01-03,MSFT,371.80,373.90,370.50,,372.00,29000000
2024-01-04,MSFT,,375.00,372.00,374.20,374.20,30000000
2024-01-05,MSFT,374.20,376.10,373.50,375.60,375.60,
2024-01-05,MSFT,374.20,376.10,373.50,375.60,375.60,30000000
2024-01-06,MSFT,375.60,377.00,374.80,376.40,376.40,31000000
2024-01-07,MSFT,376.40,378.20,375.90,377.80,377.80,32000000
2024-01-08,MSFT,377.80,379.50,377.00,378.90,378.90,33000000
bad-date,MSFT,378.90,380.10,378.20,379.60,379.60,34000000
2024-01-10,MSFT,379.60,381.00,379.00,380.20,380.20,35000000

2024-01-02,TSLA,250.00,255.00,248.50,252.30,252.30,80000000
2024-01-03,TSLA,252.30,258.00,251.00,257.60,257.60,82000000
2024-01-04,TSLA,257.60,260.50,256.20,259.10,259.10,
2024-01-05,TSLA,259.10,262.00,258.00,261.50,261.50,84000000
2024-01-06,TSLA,261.50,265.00,260.00,264.80,264.80,85000000
2024-01-07,TSLA,264.80,268.00,263.50,267.90,267.90,86000000
2024-01-08,TSLA,267.90,270.00,266.00,269.50,269.50,87000000
2024-01-08,TSLA,267.90,270.00,266.00,269.50,269.50,87000000
2024-01-09,TSLA,269.50,272.00,268.00,9999.99,9999.99,88000000
2024-01-10,TSLA,270.00,273.50,269.20,272.80,272.80,89000000